DMF_ID,High_Yield_ID,High_Yield,Simlarity
(1770, 357, 53.0, array([[0.5567127]]))
(1770, 960, 60.0, array([[0.5003168]]))
(1770, 1080, 73.0, array([[0.41926165]]))
(1770, 1092, 57.0, array([[0.52048355]]))
(1770, 1176, 52.0, array([[0.55031097]]))
(1770, 1200, 75.0, array([[0.40851406]]))
(1770, 1203, 66.0, array([[0.45118424]]))
(1770, 1296, 80.0, array([[0.35827269]]))
(1770, 1299, 74.0, array([[0.39004015]]))
(1770, 1308, 68.6, array([[0.42625294]]))
(1770, 1320, 61.0, array([[0.39992805]]))
(1770, 1440, 70.0, array([[0.43191864]]))
(1770, 1443, 67.0, array([[0.45293857]]))
(1770, 1452, 59.0, array([[0.4837956]]))
(1770, 1560, 56.0, array([[0.48034999]]))
(1770, 1572, 73.0, array([[0.46300131]]))
(1770, 1656, 66.0, array([[0.49243979]]))
(1770, 1680, 72.0, array([[0.41164829]]))
(1770, 1683, 52.0, array([[0.56070538]]))
(1770, 1692, 66.0, array([[0.45242309]]))
(1770, 1776, 62.0, array([[0.4822359]]))
(1770, 1779, 51.0, array([[0.58133294]]))
